"","cardId","name","cardSet","type","faction","rarity","health","collectible","playerClass","img","imgGold","locale","cost","text","flavor","artist","howToGet","howToGetGold","mechanics","attack","inPlayText","race","durability","elite"
"1","HERO_09","Anduin Wrynn","Basic","Hero","Neutral","Free","30","TRUE","Priest","http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_09.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_09_premium.gif","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","HERO_01","Garrosh Hellscream","Basic","Hero","Neutral","Free","30","TRUE","Warrior","http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_01.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_01_premium.gif","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","HERO_07","Gul'dan","Basic","Hero","Neutral","Free","30","TRUE","Warlock","http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_07.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_07_premium.gif","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","HERO_08","Jaina Proudmoore","Basic","Hero","Neutral","Free","30","TRUE","Mage","http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_08.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_08_premium.gif","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","HERO_06","Malfurion Stormrage","Basic","Hero","Neutral","Free","30","TRUE","Druid","http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_06.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_06_premium.gif","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","HERO_05","Rexxar","Basic","Hero","Neutral","Free","30","TRUE","Hunter","http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_05.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_05_premium.gif","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","HERO_02","Thrall","Basic","Hero","Neutral","Free","30","TRUE","Shaman","http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_02.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_02_premium.gif","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","HERO_04","Uther Lightbringer","Basic","Hero","Neutral","Free","30","TRUE","Paladin","http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_04.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_04_premium.gif","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","HERO_03","Valeera Sanguinar","Basic","Hero","Neutral","Free","30","TRUE","Rogue","http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_03.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_03_premium.gif","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CS2_041","Ancestral Healing","Basic","Spell","Neutral","Free",NA,"TRUE","Shaman","http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_041.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_041_premium.gif","enUS","0","Restore a minion to full Health and give it <b>Taunt</b>.","I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.","Dan Scott","Unlocked at Level 1.","Unlocked at Level 15.",NA,NA,NA,NA,NA,NA
"11","CS2_072","Backstab","Basic","Spell","Neutral","Free",NA,"TRUE","Rogue","http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_072.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_072_premium.gif","enUS","0","Deal $2 damage to an undamaged minion.","It's funny how often yelling ""Look over there!"" gets your opponent to turn around.","Michael Sutfin","Unlocked at Level 1.","Unlocked at Level 36.",NA,NA,NA,NA,NA,NA
